title,url,genres
"Iron Flame (The Empyrean, #2)",https://www.goodreads.com/book/show/90202302-iron-flame,"['Fantasy', 'Romance', 'Dragons', 'Fiction', 'Audiobook', 'Fantasy Romance', 'Magic']"
"Fourth Wing (The Empyrean, #1)",https://www.goodreads.com/book/show/61431922-fourth-wing,"['Fantasy', 'Romance', 'Dragons', 'Fiction', 'Fantasy Romance', 'Audiobook', 'New Adult']"
The Woman in Me,https://www.goodreads.com/book/show/63133205-the-woman-in-me,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Music', 'Biography Memoir']"
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Romance']"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'New Adult', 'Fae', 'Retellings']"
Lessons in Chemistry,https://www.goodreads.com/book/show/58065033-lessons-in-chemistry,"['Fiction', 'Historical Fiction', 'Audiobook', 'Feminism', 'Historical', 'Adult', 'Book Club']"
None of This Is True,https://www.goodreads.com/book/show/62334530-none-of-this-is-true,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']"
"He's Not My Type (The Vancouver Agitators, #4)",https://www.goodreads.com/book/show/196226291-he-s-not-my-type,"['Sports Romance', 'Hockey', 'Romance', 'Sports', 'Contemporary Romance', 'Contemporary', 'Audiobook']"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']"
"The Housemaid (The Housemaid, #1)",https://www.goodreads.com/book/show/60556912-the-housemaid,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller', 'Audiobook']"
Tom Lake,https://www.goodreads.com/book/show/63241104-tom-lake,"['Fiction', 'Audiobook', 'Literary Fiction', 'Historical Fiction', 'Romance', 'Contemporary', 'Family']"
Happy Place,https://www.goodreads.com/book/show/61718053-happy-place,"['Romance', 'Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Contemporary Romance', 'Chick Lit']"
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games,"['Young Adult', 'Fiction', 'Fantasy', 'Dystopia', 'Science Fiction', 'Romance', 'Adventure']"
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fantasy Romance', 'Audiobook']"
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,"['Fantasy', 'Romance', 'Fiction', 'Fantasy Romance', 'Fae', 'New Adult', 'Adult']"
"Divine Rivals (Letters of Enchantment, #1)",https://www.goodreads.com/book/show/60784546-divine-rivals,"['Fantasy', 'Romance', 'Young Adult', 'Fantasy Romance', 'Historical Fiction', 'Fiction', 'Audiobook']"
The Silent Patient,https://www.goodreads.com/book/show/40097951-the-silent-patient,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']"
"Icebreaker (Maple Hills, #1)",https://www.goodreads.com/book/show/61767292-icebreaker,"['Romance', 'Sports Romance', 'Sports', 'Contemporary', 'Hockey', 'Contemporary Romance', 'New Adult']"
I'm Glad My Mom Died,https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Mental Health', 'Autobiography', 'Adult']"
Check & Mate,https://www.goodreads.com/book/show/60683957-check-mate,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Audiobook', 'New Adult']"
Wreck the Halls,https://www.goodreads.com/book/show/75663742-wreck-the-halls,"['Christmas', 'Romance', 'Holiday', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Audiobook']"
Yellowface,https://www.goodreads.com/book/show/62047984-yellowface,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Thriller', 'Adult', 'Mystery']"
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/76703559-throne-of-glass,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Magic', 'Young Adult Fantasy', 'High Fantasy']"
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,"['Fiction', 'Romance', 'Historical Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Queer']"
"Tomorrow, and Tomorrow, and Tomorrow",https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,"['Fiction', 'Contemporary', 'Romance', 'Audiobook', 'Literary Fiction', 'Adult', 'Historical Fiction']"
Never Lie,https://www.goodreads.com/book/show/62080187-never-lie,"['Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Fiction', 'Suspense', 'Psychological Thriller']"
Remarkably Bright Creatures,https://www.goodreads.com/book/show/58733693-remarkably-bright-creatures,"['Fiction', 'Audiobook', 'Contemporary', 'Mystery', 'Magical Realism', 'Animals', 'Literary Fiction']"
"The Graham Effect (Campus Diaries, #1)",https://www.goodreads.com/book/show/123255391-the-graham-effect,"['Romance', 'Sports Romance', 'Sports', 'Hockey', 'College', 'New Adult', 'Contemporary']"
"Things We Left Behind (Knockemout, #3)",https://www.goodreads.com/book/show/116536542-things-we-left-behind,"['Romance', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Adult', 'Chick Lit', 'Audiobook']"
"Friends, Lovers, and the Big Terrible Thing",https://www.goodreads.com/book/show/59641216-friends-lovers-and-the-big-terrible-thing,"['Nonfiction', 'Audiobook', 'Memoir', 'Biography', 'Autobiography', 'Biography Memoir', 'Mental Health']"
